,C4.5Fmeasure,C4.5gmean,C4.5TP,C4.5AUC,NBFmeasure,NBgmean,NBTP,NBAUC,5nnFmeasure,5nngmean,5nnTP,5nnAUC,SGDFmeasure,SGDgmean,SGDTP,SGDAUC
diabetes,0.5657418500333946,0.6573076442999317,0.5687891737891737,0.6675945868945868,0.6287912542850951,0.7060392507734407,0.593019943019943,0.8159914529914529,0.5971563302841724,0.6562719204024346,0.5266381766381766,0.748448717948718,0.5184909384275656,0.3935959806449386,0.44793447293447286,0.5498672364672365
ionosphere,0.8361697829449921,0.86672266843548,0.8173717948717949,0.8716799685821425,0.811949278791384,0.8392349272972881,0.7403846153846152,0.935222205330901,0.7556183137990918,0.7403907876667121,0.5673076923076924,0.9204792490118578,0.7535629948871856,0.7843874895207101,0.7262820512820513,0.8013134057971015
satimage,0.9466117630897182,0.9685073280240623,0.9442756539235413,0.9690243311484282,0.9322083784618478,0.9456047462177917,0.8975050301810865,0.9889457397344523,0.947952422005414,0.9771442981288259,0.958672032193159,0.9942230195543498,0.9264461552804208,0.9267347077754364,0.8832394366197184,0.9310194939269124
segment-challenge,0.9705818548193538,0.9833279801307132,0.9719999999999999,0.9836028622540252,0.6145432309959873,0.8906083927300223,0.9852380952380952,0.9764349603884488,0.7768373784460743,0.9709603973013655,0.9554761904761904,0.9954463753300964,0.8001740782456073,0.8941097451715603,0.8479761904761907,0.9111228596984411
vehicle,0.8768349491305294,0.9225269924141903,0.8923421052631578,0.9241145622469636,0.5412718830013156,0.7117684691243383,0.8592105263157894,0.8150194205465586,0.7081909375236962,0.9228996387439288,0.8944736842105263,0.9835834387651824,0.620311963177914,0.5446030754679374,0.5606315789473684,0.6992052125506072
sonar,0.5854511839755345,0.5827035977253084,0.6164444444444444,0.6125025252525254,0.6301292528981317,0.568492193987689,0.728888888888889,0.73510101010101,0.5782580805984023,0.5471521993767964,0.5188888888888891,0.6204671717171717,0.5663557585211623,0.49936743286204255,0.5708888888888889,0.6191944444444444
german,0.4737248058013986,0.6039162289583249,0.4750000000000001,0.625,0.5807079927241218,0.6928078000128919,0.62,0.7564285714285716,0.47969000857480626,0.5143420398629449,0.3166666666666666,0.6554047619047619,0.4383075960799404,0.43409537077100924,0.41533333333333333,0.5961119047619048
wpbc,0.4173842268842269,0.5577883446567448,0.4605,0.6317083333333333,0.4066300366300366,0.5529300426543167,0.5199999999999999,0.6632499999999999,0.41304445554445557,0.5342317585936663,0.37000000000000005,0.6349583333333334,0.3951033752532944,0.440334053168656,0.46550000000000014,0.6199333333333332
glass,0.7454274902943635,0.8047440047381762,0.7460000000000001,0.834029411764706,0.7538942052099947,0.7868487333297719,0.7699999999999999,0.9261764705882352,0.7285496667075614,0.7646688473855808,0.6900000000000002,0.9633455882352939,0.619564859934491,0.36986526747983384,0.5493333333333333,0.6628468137254903
haberman,0.24346297092915728,0.3510300138026132,0.30375,0.4866946640316206,0.2784615384615385,0.36618154701712413,0.2097222222222222,0.697292215634607,0.31942540302834427,0.48613481423633004,0.34861111111111104,0.6708278436539307,0.29030192230792545,0.17559187592055342,0.36,0.5366106719367589
breasttissue,0.7761904761904763,0.8284669462864442,0.8299999999999998,0.8865277777777779,0.7604761904761904,0.8759762070853896,0.9666666666666666,0.9388888888888889,0.7685714285714286,0.8563831209547972,0.8166666666666667,0.9118055555555558,0.5422642172642171,0.08626087519971867,0.18833333333333335,0.5179861111111111
movement,0.593842712842713,0.7704311915747842,0.685,0.8210071301247771,0.5492436974789916,0.6259699033263076,0.5999999999999999,0.9209001782531197,0.5241456582633052,0.5565285645092982,0.5,0.8843137254901963,0.48019387801740737,0.46442876671258526,0.43166666666666664,0.7007397504456329
spect,0.5004782523977571,0.6462087086319992,0.5096666666666667,0.6966176046176046,0.48135047637335965,0.6613846486306204,0.9299999999999999,0.8429040404040402,0.27162761913906086,0.09688602010452509,0.07666666666666666,0.7464935064935065,0.3273980883100886,0.5633940257592214,0.4803333333333334,0.6581475468975468
vertebral,0.6655904842628251,0.7136466175336371,0.655,0.7341666666666666,0.7878455014058731,0.7563223288268556,0.8799999999999999,0.8519047619047619,0.7685357893848339,0.7952642745369921,0.7599999999999999,0.8957142857142857,0.6909499754102864,0.5292030764730893,0.598,0.6968571428571428
breastw,0.9054469352702721,0.9207493736129836,0.8764666666666667,0.9242115942028984,0.944873230476763,0.9634895341355871,0.9753333333333334,0.9848494363929147,0.9479491451845377,0.9628343209389796,0.9550000000000001,0.989989734299517,0.9372727690423327,0.936706268438863,0.9299166666666666,0.9407964975845411
yeast1,0.48425154278448934,0.617367490913604,0.4979900332225915,0.6365965440147099,0.4569955622553791,0.20787145178556193,0.990642303433001,0.7664138008574791,0.477067819346478,0.616530028893851,0.4524916943521594,0.7394409719423825,0.44761274620767094,0.4548240749324878,0.48702104097452936,0.624525660695754
yeast2,0.48981148057869656,0.6119290823119106,0.4943570767807586,0.6291355153559228,0.5616608290539827,0.5852299364847664,0.8594819611470861,0.7181458927571099,0.5155215546205202,0.5935505847764507,0.44491211840888056,0.7039875918663633,0.46013479091048304,0.38049654962740137,0.48977798334875117,0.5941647922697098
