id,questions,answers
2254,6306.573067,12020.30402
2255,6308.882372,12024.57715
2256,4826.806685,9282.149252
2257,4828.713569,9285.677743
2258,6315.810286,12037.39654
2259,6318.11959,12041.66967
2260,6320.428895,12045.9428
2261,6322.738199,12050.21593
2262,6325.047504,12054.48906
2263,4840.154872,9306.848692
2264,4842.061756,9310.377184
2265,6331.975417,12067.30845
2266,6334.284722,12071.58158
2267,6336.594027,12075.8547
2268,6338.903331,12080.12783
2269,6341.212636,12084.40096
2270,4853.503059,9331.548132
2271,4855.409943,9335.076624
2272,6348.140549,12097.22035
2273,6350.449854,12101.49348
2274,6352.759158,12105.76661
2275,6355.068463,12110.03974
2276,6357.377768,12114.31287
2277,4866.851246,9356.247573
2278,4868.75813,9359.776064
2279,6364.305681,12127.13226
2280,6366.614986,12131.40539
2281,6368.92429,12135.67852
2282,6371.233595,12139.95165
2283,6373.5429,12144.22478
2284,4880.199433,9380.947013
2285,4882.106317,9384.475505
2286,6380.470813,12157.04416
2287,6382.780118,12161.31729
2288,6385.089422,12165.59042
2289,6387.398727,12169.86355
2290,6389.708031,12174.13668
2291,4893.54762,9405.646454
2292,4895.454504,9409.174945
2293,6396.635945,12186.95607
2294,6398.94525,12191.2292
2295,6401.254554,12195.50233
2296,6403.563859,12199.77546
2297,6405.873163,12204.04859
2298,4906.895807,9430.345894
2299,4908.80269,9433.874385
2300,6412.801077,12216.86798
2301,6415.110382,12221.14111
2302,6417.419686,12225.41424
2303,6419.728991,12229.68736
2304,6422.038295,12233.96049
2305,4920.243993,9455.045334
2306,4922.150877,9458.573826
2307,6428.966209,12246.77988
2308,6431.275514,12251.05301
2309,6433.584818,12255.32614
2310,6435.894123,12259.59927
2311,6438.203427,12263.8724
2312,4933.59218,9479.744775
2313,4935.499064,9483.273266
2314,6445.131341,12276.69179
2315,6447.440645,12280.96492
2316,6449.74995,12285.23805
2317,6452.059255,12289.51118
2318,6454.368559,12293.78431
2319,4946.940367,9504.444215
2320,4948.847251,9507.972707
2321,6461.296473,12306.60369
2322,6463.605777,12310.87682
2323,6465.915082,12315.14995
2324,6468.224386,12319.42308
2325,6470.533691,12323.69621
2326,4960.288554,9529.143655
2327,4962.195438,9532.672147
2328,6477.461605,12336.5156
2329,6479.770909,12340.78873
2330,6482.080214,12345.06186
2331,6484.389518,12349.33499
2332,6486.698823,12353.60812
2333,4973.636741,9553.843096
2334,4975.543625,9557.371587
2335,6493.626737,12366.42751
2336,6495.936041,12370.70064
2337,6498.245346,12374.97377
2338,6500.55465,12379.2469
2339,6502.863955,12383.52002
2340,4986.984928,9578.542536
2341,4988.891812,9582.071028
2342,6509.791869,12396.33941
2343,6512.101173,12400.61254
2344,6514.410478,12404.88567
2345,6516.719782,12409.1588
2346,6519.029087,12413.43193
2347,5000.333115,9603.241977
2348,5002.239998,9606.770468
2349,6525.957,12426.25132
2350,6528.266305,12430.52445
2351,6530.57561,12434.79758
2352,6532.884914,12439.07071
2353,6535.194219,12443.34384
2354,5013.681301,9627.941417
2355,5015.588185,9631.469908
2356,6542.122132,12456.16323
2357,6544.431437,12460.43635
2358,6546.740741,12464.70948
2359,6549.050046,12468.98261
2360,6551.359351,12473.25574
2361,5027.029488,9652.640857
2362,5028.936372,9656.169349
2363,6558.287264,12486.07513
2364,6560.596569,12490.34826
2365,6562.905873,12494.62139
2366,6565.215178,12498.89452
2367,6567.524482,12503.16765
2368,5040.377675,9677.340298
2369,5042.284559,9680.868789
2370,6574.452396,12515.98704
2371,6576.761701,12520.26017
2372,6579.071005,12524.5333
2373,6581.38031,12528.80643
2374,6583.689614,12533.07956
2375,5053.725862,9702.039738
2376,5055.632746,9705.568229
2377,6590.617528,12545.89894
2378,6592.926833,12550.17207
2379,6595.236137,12554.4452
2380,6597.545442,12558.71833
2381,6599.854746,12562.99146
2382,5067.074049,9726.739178
2383,5068.980933,9730.26767
2384,6606.78266,12575.81085
2385,6609.091965,12580.08398
2386,6611.401269,12584.35711
2387,6613.710574,12588.63024
2388,6616.019878,12592.90337
2389,5080.422236,9751.438619
2390,5082.32912,9754.96711
2391,6622.947792,12605.72276
2392,6625.257096,12609.99589
2393,6627.566401,12614.26901
2394,6629.875706,12618.54214
2395,6632.18501,12622.81527
2396,5093.770423,9776.138059
2397,5095.677306,9779.666551
2398,6639.112924,12635.63466
2399,6641.422228,12639.90779
2400,6643.731533,12644.18092
2401,6646.040838,12648.45405
2402,6648.350142,12652.72718
2403,5107.118609,9800.837499
2404,5109.025493,9804.365991
2405,6655.278056,12665.54657
